# Reference list of common diseases for measuring symptom-source coverage.
# Hand-compiled across specialties (not a prevalence-ranked sample); every row resolved
# against Mondo release 2026-09-01 (data/mondo.obo). resolution: label | exact_synonym |
# manual (chosen by hand where the everyday name has no exact Mondo label).
mondo_id	mondo_label	query_name	icd10	specialty	resolution
MONDO:0005148	type 2 diabetes mellitus	type 2 diabetes mellitus	E11	endocrine	label
MONDO:0005147	type 1 diabetes mellitus	type 1 diabetes mellitus	E10	endocrine	label
MONDO:0005420	hypothyroidism	hypothyroidism	E03.9	endocrine	label
MONDO:0004425	hyperthyroidism	hyperthyroidism	E05	endocrine	label
MONDO:0005364	Graves disease	Graves disease	E05.0	endocrine	label
MONDO:0007699	Hashimoto thyroiditis	Hashimoto thyroiditis	E06.3	endocrine	label
MONDO:0011122	obesity disorder	obesity	E66	endocrine	exact_synonym
MONDO:0100480	autoimmune primary adrenal insufficiency	Addison disease	E27.1	endocrine	exact_synonym
MONDO:0018912	Cushing syndrome	Cushing syndrome	E24	endocrine	label
MONDO:0008487	polycystic ovary syndrome	polycystic ovary syndrome	E28.2	endocrine	label
MONDO:0005298	osteoporosis	osteoporosis	M81	endocrine	label
MONDO:0001134	essential hypertension	essential hypertension	I10	cardiovascular	label
MONDO:0005068	myocardial infarction	myocardial infarction	I21	cardiovascular	label
MONDO:0005010	coronary artery disorder	coronary artery disease	I25	cardiovascular	exact_synonym
MONDO:0005252	heart failure	heart failure	I50	cardiovascular	label
MONDO:0004981	atrial fibrillation	atrial fibrillation	I48	cardiovascular	label
MONDO:0005279	pulmonary embolism	pulmonary embolism	I26	cardiovascular	label
MONDO:0005399	venous thromboembolism	deep vein thrombosis	I80	cardiovascular	manual
MONDO:0005386	peripheral arterial disease	peripheral artery disease	I73.9	cardiovascular	manual
MONDO:0005350	abdominal aortic aneurysm	abdominal aortic aneurysm	I71.4	cardiovascular	label
MONDO:0000565	infective endocarditis	infective endocarditis	I33	cardiovascular	label
